,Type,Subtype,Lat,Long,Depth,Date,YN_Lat,YN_Lon,YN_Depth,Phi,Delta-a,Delta-b,Depth_err,Year,Month,Day,Julday,Hour,Minute,Station,Url
47,A27,deep,20.12,16.21,1010,7705160001,22.5,18.5,1059,-24,1.9,1.4,14,1977,5,16,136,0,1,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1977/136/xa.s12.00.mh1.1977.136.0.mseed
48,A30,deep,11.22,-30.38,896,7205170042,11.8,-34.3,921,-37,1.5,1,23,1972,5,17,138,0,42,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/138/xa.s12.00.mh1.1972.138.0.mseed
49,A33,deep,7.71,113.03,966,7210111935,6.9,117.8,887,-9,1.5,1.3,30,1972,10,11,285,19,35,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/285/xa.s12.00.mh1.1972.285.0.mseed
50,A34,deep,6.99,-8.42,882,7206141834,7,-9.3,932,-32,1.2,0.6,26,1972,6,14,166,18,34,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/166/xa.s12.00.mh1.1972.166.0.mseed
51,A40,deep,-0.9,-10.32,846,7306272348,-1.6,-10.9,886,-80,1.2,0.7,23,1973,6,27,178,23,48,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1973/178/xa.s12.00.mh1.1973.178.0.mseed
52,A41,deep,12.7,-23.1,911,7206081616,13.9,-26.8,953,-28,5.6,2.2,84,1972,6,8,160,16,16,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/160/xa.s12.00.mh1.1972.160.0.mseed
53,A42,deep,12.7,-23.1,911,7305030152,22.7,-53.5,1004,-53,1.8,1.4,24,1973,5,3,123,1,52,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1973/123/xa.s12.00.mh1.1973.123.0.mseed
54,A44,deep,48.74,49.17,975,7405190309,51.9,57.1,956,-74,5.8,1.9,20,1974,5,19,139,3,9,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1974/139/xa.s12.00.mh1.1974.139.0.mseed
55,A50,deep,9.36,-47.41,843,7304300105,9.4,-51.6,835,-13,2.4,1.5,30,1973,4,30,120,1,5,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1973/120/xa.s12.00.mh1.1973.120.0.mseed
56,A51,deep,8.63,14.42,849,7402180835,8.8,15.7,888,-28,1.1,0.5,22,1974,2,18,49,8,35,,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1974/49/xa.s12.00.mh1.1974.49.0.mseed
57,A97,deep,-2.36,16.39,955,7705190608,-3.4,18.7,1000,-3,2.8,2.3,25,1977,5,19,139,6,8,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1977/139/xa.s12.00.mh1.1977.139.0.mseed
58,LM11,landing,0.67416,23.47314,0,6907202017,,,,,,,,1969,7,20,,20,17,,
59,LM12,landing,-3.0128,-23.4219,0,6911190654,,,,,,,,1969,11,19,,6,54,,
60,LM14,landing,-3.64589,-17.47194,0,7102050918,,,,,,,,1971,2,5,,9,18,,
61,LM15,landing,26.13239,3.6333,0,7107302216,,,,,,,,1971,7,30,,22,16,,
62,LM16,landing,-8.9734,15.5011,0,7204210223,,,,,,,,1972,4,21,,2,23,,
63,LM17,landing,20.1911,30.7723,0,7212111954,,,,,,,,1972,12,11,,19,54,,
